Brand,Model,accelsec,topSpeedMPH,RangeMiles,efficiencyWHperKM,OneHourFastChargeMiles,RapidCharge,PowerTrain,PlugType,BodyStyle,Segment,Seats,PriceUSD
Audi,Q4 Sportback e-tron,6.3 ,111.84678,158.2656129,116.817748,341.75405,Yes,AWD,Type 2 CCS,SUV,D,5,68315.75
Smart,EQ forfour,12.7 ,80.77823,36.67130055,109.361296,0.0,No,RWD,Type 2,Hatchback,A,4,26174.17
Ford,Mustang Mach-E SR AWD,6.0 ,111.84678,131.2446546,128.002426,223.69356,Yes,AWD,Type 2 CCS,SUV,D,5,64157.4
Porsche,Taycan Turbo,3.2 ,161.55646,150.5453391,133.594765,503.31051,Yes,AWD,Type 2 CCS,Sedan,F,4,176196.32
Volkswagen,ID.3 1st,7.3 ,99.41936,131.2446546,106.254441,292.04437,Yes,RWD,Type 2 CCS,Hatchback,C,5,46320.64
Tesla,Model X Performance,2.8 ,155.34275,169.8460236,134.216136,298.25808,Yes,AWD,Type 2,SUV,F,7,122362.31
Smart,EQ fortwo coupe,11.6 ,80.77823,38.601369,103.768957,0.0,No,RWD,Type 2,Hatchback,A,2,25410.08
Ford,Mustang Mach-E SR RWD,6.6 ,111.84678,138.9649284,120.545974,236.12098,Yes,RWD,Type 2 CCS,SUV,D,5,55721.89
Mercedes,EQV 300 Long,10.0 ,86.99194,127.3845177,169.634283,180.19759,Yes,FWD,Type 2 CCS,SPV,N,7,83916.92
Fiat,500e Hatchback,9.0 ,93.20565,96.5034225,104.390328,205.05243,Yes,FWD,Type 2 CCS,Hatchback,B,4,41464.69
Tesla,Cybertruck Single Motor,7.0 ,111.84678,150.5453391,159.070976,459.81454,Yes,RWD,Type 2 CCS,Pickup,N,6,53464.5
Audi,e-tron Sportback 50 quattro,6.8 ,118.06049,113.87403855,136.080249,292.04437,Yes,AWD,Type 2 CCS,SUV,E,5,82633.99
Skoda,Enyaq iV vRS,6.2 ,111.84678,154.405476,119.924603,335.54034,Yes,AWD,Type 2 CCS,SUV,C,5,56434.75
Skoda,Enyaq iV 60,9.0 ,99.41936,123.5243808,112.468151,273.40324,Yes,RWD,Type 2 CCS,SUV,C,5,44553.75
Audi,e-tron S 55 quattro,4.5 ,130.48791,123.5243808,167.77017,316.89921,Yes,AWD,Type 2 CCS,SUV,E,5,111443.78
Smart,EQ fortwo cabrio,11.9 ,80.77823,36.67130055,109.361296,0.0,No,RWD,Type 2,Cabrio,A,2,29185.84
Kia,e-Soul 64 kWh,7.9 ,103.768957,140.89499685,108.739925,198.83872,Yes,FWD,Type 2 CCS,SUV,B,5,43765.68
Nissan,Ariya e-4ORCE 87kWh,5.7 ,124.2742,162.1257498,128.623797,310.6855,Yes,AWD,Type 2 CCS,Hatchback,C,5,68315.75
Fiat,500e Convertible,9.0 ,93.20565,96.5034225,104.390328,205.05243,Yes,FWD,Type 2 CCS,Cabrio,B,4,45028.99
Volkswagen,ID.3 Pro Performance,7.3 ,99.41936,131.2446546,106.254441,292.04437,Yes,RWD,Type 2 CCS,Hatchback,C,5,42266.93
Kia,e-Soul 39 kWh,9.9 ,97.555247,88.7831487,105.63307,136.70162,Yes,FWD,Type 2 CCS,SUV,B,5,39365.35
Byton,M-Byte 72 kWh 2WD,7.5 ,118.06049,125.45444925,137.944362,260.97582,Yes,RWD,Type 2 CCS,SUV,E,5,63563.35
Nissan,Ariya 63kWh,7.5 ,99.41936,127.3845177,118.681861,273.40324,Yes,FWD,Type 2 CCS,Hatchback,C,5,53464.5
Audi,e-tron S Sportback 55 quattro,4.5 ,130.48791,129.31458615,160.313718,335.54034,Yes,AWD,Type 2 CCS,SUV,E,5,114117.55
Nissan,Ariya e-4ORCE 63kWh,5.9 ,124.2742,125.45444925,120.545974,273.40324,Yes,AWD,Type 2 CCS,Hatchback,C,5,59405
Nissan,Ariya e-4ORCE 87kWh Performance,5.1 ,124.2742,144.75513375,144.158072,279.61695,Yes,AWD,Type 2 CCS,Hatchback,C,5,77226.5
Byton,M-Byte 95 kWh 2WD,7.5 ,118.06049,154.405476,147.886298,298.25808,Yes,AWD,Type 2 CCS,SUV,E,5,73662.2
